,0
0,1_02467_01
1,2_00708_03
2,1_02298_04
3,1_00717_03
4,1_02389_02
5,3_01423_01
6,0_02333_02
7,0_01851_04
8,2_02748_01
9,2_00676_04
10,0_00473_02
11,1_01229_02
12,0_01138_02
13,0_02134_03
14,1_02088_02
15,2_02680_02
16,3_01023_04
17,3_01485_03
18,0_00258_01
19,3_00215_01
20,0_00695_03
21,2_01360_01
22,2_00206_03
23,2_02943_03
24,1_00250_01
25,1_01904_01
26,2_02100_02
27,2_00764_01
28,1_00404_04
29,3_00058_05
30,3_00270_04
31,1_00940_01
32,1_00380_03
33,3_00995_02
34,0_01742_03
35,1_02443_01
36,1_01180_01
37,0_00577_02
38,0_02692_02
39,0_00443_06
40,3_01954_02
41,3_00460_01
42,3_02888_01
43,2_01283_03
44,0_00804_02
45,2_01683_01
46,0_02028_02
47,2_01723_01
48,2_02015_01
49,1_00358_02
50,0_01475_01
51,0_00456_04
52,3_02414_06
53,2_00176_02
54,3_00419_03
55,1_01120_01
56,3_01017_02
57,2_00968_03
58,2_01762_05
59,1_02301_01
60,2_00250_04
61,2_00553_03
62,0_01123_03
63,2_02173_05
64,3_01341_02
65,2_01238_02
66,1_00531_03
67,0_02498_02
68,3_02304_01
69,0_00141_04
70,1_02134_05
71,2_02366_02
72,1_02255_02
73,2_01649_03
74,2_00881_03
75,2_02387_01
76,0_00227_04
77,0_00634_04
78,1_01729_04
79,0_02671_02
80,2_00365_02
81,0_00546_04
82,0_00397_01
83,1_01076_01
84,2_02880_03
85,0_01916_02
86,3_00961_03
87,2_00098_04
88,0_01604_01
89,1_00842_02
90,3_00691_02
91,2_02208_03
92,1_01212_01
93,1_00550_04
94,2_02159_02
95,2_02074_02
96,0_01132_03
97,0_02530_02
98,0_01469_04
99,1_02426_01
100,3_02686_02
101,2_01764_02
102,0_00478_04
103,0_00428_03
104,0_02308_01
105,0_01804_03
106,2_00208_01
107,1_01445_02
108,0_02049_04
109,1_01882_02
110,0_02866_02
111,2_00224_03
112,1_01082_03
113,0_01542_02
114,2_00688_02
115,3_02301_06
116,1_00259_01
117,1_01612_02
118,1_01771_01
119,2_01441_03
120,1_00725_01
121,3_00189_02
122,3_02347_03
123,3_01076_02
124,0_00746_02
125,1_01401_03
126,0_00262_01
127,0_01338_01
128,2_01440_01
129,0_00113_01
130,1_02117_05
131,3_02109_01
132,2_02646_03
133,1_00952_03
134,2_02095_02
135,1_01376_02
136,2_02809_03
137,1_00533_02
138,3_02663_03
139,1_00006_01
140,1_01626_01
141,3_02123_02
142,2_01944_04
143,0_02937_03
144,1_02117_04
145,2_00910_02
146,0_02149_03
147,2_02025_02
148,1_00837_02
149,2_01724_04
150,1_00474_02
151,2_01986_01
152,1_00864_04
153,2_00435_04
154,1_00723_03
155,0_02795_02
156,2_02411_03
157,3_02715_02
158,2_01338_03
159,1_01513_03
160,1_00314_02
161,0_02154_01
162,0_00496_04
163,2_00377_02
164,0_00529_02
165,3_00562_01
166,1_01545_02
167,2_02600_02
168,1_00654_02
169,0_00647_01
170,1_01137_05
171,1_00485_03
172,1_01989_03
173,2_01825_03
174,2_02227_03
175,3_00707_02
176,2_02565_01
177,3_00788_01
178,3_01573_01
179,3_00034_03
180,3_02282_02
181,3_02119_02
182,0_02718_02
183,2_01781_01
184,1_00485_01
185,2_02215_02
186,0_01563_04
187,3_00650_01
188,1_00608_04
189,3_02149_03
190,3_00713_01
191,0_01373_03
192,0_01076_02
193,2_01158_01
194,1_01608_02
195,1_01198_03
196,3_02472_03
197,0_02152_04
198,1_01320_03
199,2_01123_04
200,2_02736_02
201,3_01943_04
202,2_01468_02
203,0_01411_03
204,2_01583_01
205,1_01664_02
206,3_01600_03
207,0_01286_03
208,0_01830_03
209,3_01957_03
210,0_02213_02
211,1_00431_04
212,3_00309_03
213,1_01107_01
214,0_01276_04
215,0_02563_04
216,0_01803_03
217,0_01277_01
218,1_00403_03
219,3_02315_02
220,3_02786_03
221,0_01207_04
222,1_01170_02
223,1_00002_04
224,3_01766_01
225,0_01553_01
226,3_01117_01
227,1_00205_02
228,3_00994_02
229,0_01789_02
230,0_00855_01
231,3_01636_03
232,1_00981_02
233,1_00084_01
234,3_00495_01
235,2_01870_04
236,2_01632_02
237,3_01386_01
238,3_01611_01
239,3_00778_02
240,0_00107_01
241,3_02497_01
242,0_00655_01
243,1_01727_02
244,1_00857_01
245,1_01714_01
246,0_00333_01
247,1_00353_04
248,0_00542_04
249,0_02880_02
250,0_00869_04
251,3_01578_01
252,3_01028_04
253,3_00395_03
254,0_00747_03
255,2_01993_04
256,2_01906_01
257,1_00948_02
258,0_02433_03
259,3_02505_01
260,3_00236_03
261,0_02134_02
262,0_01804_01
263,0_00903_01
264,2_01587_02
265,0_02963_01
266,0_01218_05
267,0_00479_03
268,3_00003_03
269,1_01953_02
270,0_00258_03
271,0_00560_03
272,0_00729_02
273,1_01811_03
274,1_01819_03
275,1_00061_05
276,1_01366_04
277,3_01095_02
278,3_02566_02
279,2_00522_02
280,3_01103_03
281,3_00404_01
282,2_01077_01
283,0_02107_02
284,0_01895_02
285,0_02895_06
286,0_00128_01
287,2_00521_02
288,1_00536_01
289,2_01783_01
290,3_01830_01
291,2_00694_02
292,0_02470_03
293,1_00212_01
294,1_00704_01
295,0_01109_02
296,2_01759_03
297,2_00730_03
298,3_00929_03
299,1_01679_03
300,2_01015_04
301,3_02288_02
302,3_01268_01
303,3_01868_04
304,3_01798_04
305,1_01796_01
306,2_01507_02
307,2_01866_04
308,2_00799_03
309,1_00003_01
310,0_00510_01
311,0_00852_02
312,1_00330_01
313,1_01963_02
314,0_00181_01
315,2_02246_03
316,2_00263_01
317,1_02038_02
318,0_00722_04
